ticker,country,name,coupon,yield,maturitydate
PL03Y,Poland,Poland 3 Year Government Bonds Yield,2.50%,5.357%,2027-07-25
PL04Y,Poland,Poland 4 Year Government Bonds Yield,7.50%,5.444%,2028-07-25
PL05Y,Poland,Poland 5 Year Government Bonds Yield,4.75%,5.573%,2029-07-25
PL06Y,Poland,Poland 6 Year Government Bonds Yield,1.25%,5.595%,2030-10-25
PL10Y,Poland,Poland 10 Year Government Bonds Yield,5.00%,5.771%,2034-10-25
PT03MY,Portugal,Portugal 3 Month Government Bonds Yield,0.00%,3.680%,2024-09-20
PT06MY,Portugal,Portugal 6 Month Government Bonds Yield,0.00%,3.445%,2024-11-22
PT01Y,Portugal,Portugal 1 Year Government Bonds Yield,0.00%,3.471%,2025-05-16
PT02Y,Portugal,Portugal 2 Year Government Bonds Yield,2.88%,2.912%,2026-07-21
PT03Y,Portugal,Portugal 3 Year Government Bonds Yield,4.13%,2.791%,2027-04-14
PT04Y,Portugal,Portugal 4 Year Government Bonds Yield,2.13%,2.684%,2028-10-17
PT05Y,Portugal,Portugal 5 Year Government Bonds Yield,1.95%,2.721%,2029-06-15
PT06Y,Portugal,Portugal 6 Year Government Bonds Yield,3.88%,2.763%,2030-02-15
PT07Y,Portugal,Portugal 7 Year Government Bonds Yield,0.48%,2.779%,2030-10-18
PT08Y,Portugal,Portugal 8 Year Government Bonds Yield,0.30%,2.848%,2031-10-17
PT09Y,Portugal,Portugal 9 Year Government Bonds Yield,1.65%,2.936%,2032-07-16
PT10Y,Portugal,Portugal 10 Year Government Bonds Yield,2.88%,3.132%,2034-10-20
PT15Y,Portugal,Portugal 15 Year Government Bonds Yield,3.50%,3.375%,2038-06-18
PT20Y,Portugal,Portugal 20 Year Government Bonds Yield,1.15%,3.480%,2042-04-11
PT30Y,Portugal,Portugal 30 Year Government Bonds Yield,3.63%,3.723%,2054-06-12
RO06MY,Romania,Romania 6 Month Government Bonds Yield,0.00%,6.050%,2024-11-27
RO01Y,Romania,Romania 1 Year Government Bonds Yield,0.00%,6.040%,2025-03-26
RO02Y,Romania,Romania 2 Year Government Bonds Yield,3.50%,6.030%,2025-11-25
RO03Y,Romania,Romania 3 Year Government Bonds Yield,3.25%,6.130%,2026-06-24
RO04Y,Romania,Romania 4 Year Government Bonds Yield,4.85%,6.150%,2026-04-22
RO05Y,Romania,Romania 5 Year Government Bonds Yield,2.50%,6.320%,2027-10-25
RO07Y,Romania,Romania 7 Year Government Bonds Yield,5.00%,6.600%,2029-02-12
RO10Y,Romania,Romania 10 Year Government Bonds Yield,7.20%,6.880%,2033-10-30
RU01Y,Russian Federation,Russian Federation 1 Year Government Bonds Yield,4.50%,18.210%,2025-07-16
RU02Y,Russian Federation,Russian Federation 2 Year Government Bonds Yield,8.16%,18.100%,2026-07-23
RU03Y,Russian Federation,Russian Federation 3 Year Government Bonds Yield,8.15%,17.360%,2027-02-03
RU05Y,Russian Federation,Russian Federation 5 Year Government Bonds Yield,6.70%,15.860%,2029-03-14
RU07Y,Russian Federation,Russian Federation 7 Year Government Bonds Yield,5.90%,15.620%,2031-03-12
RU10Y,Russian Federation,Russian Federation 10 Year Government Bonds Yield,7.25%,15.130%,2034-05-10
RU15Y,Russian Federation,Russian Federation 15 Year Government Bonds Yield,7.70%,15.400%,2039-03-16
RU20Y,Russian Federation,Russian Federation 20 Year Government Bonds Yield,7.10%,14.900%,2041-05-15
SK02Y,Slovakia,Slovakia 2 Year Government Bonds Yield,3.00%,3.437%,2026-02-07
SK05Y,Slovakia,Slovakia 5 Year Government Bonds Yield,3.63%,3.044%,2029-01-16
SK06Y,Slovakia,Slovakia 6 Year Government Bonds Yield,0.75%,3.175%,2030-04-09
SK08Y,Slovakia,Slovakia 8 Year Government Bonds Yield,1.00%,3.375%,2032-05-14
SK09Y,Slovakia,Slovakia 9 Year Government Bonds Yield,3.88%,3.505%,2033-02-08
SK10Y,Slovakia,Slovakia 10 Year Government Bonds Yield,3.63%,3.489%,2033-06-08
SK13Y,Slovakia,Slovakia 13 Year Government Bonds Yield,0.38%,3.791%,2036-04-21
SK18Y,Slovakia,Slovakia 18 Year Government Bonds Yield,1.88%,3.828%,2037-03-09
SK30Y,Slovakia,Slovakia 30 Year Government Bonds Yield,1.00%,3.731%,2051-10-13
SK50Y,Slovakia,Slovakia 50 Year Government Bonds Yield,2.25%,3.820%,2068-06-12
ZA03MY,South Africa,South Africa 3 Month Government Bonds Yield,0.00%,7.940%,2024-09-23
KR01Y,South Korea,South Korea 1 Year Government Bonds Yield,3.13%,3.337%,2025-06-10
KR02Y,South Korea,South Korea 2 Year Government Bonds Yield,3.25%,3.243%,2026-03-10
KR03Y,South Korea,South Korea 3 Year Government Bonds Yield,3.25%,3.177%,2027-06-10
KR04Y,South Korea,South Korea 4 Year Government Bonds Yield,3.25%,3.190%,2028-03-10
ZA05Y,South Africa,South Africa 5 Year Government Bonds Yield,10.50%,8.545%,2026-12-21
KR05Y,South Korea,South Korea 5 Year Government Bonds Yield,3.25%,3.188%,2029-03-10
ZA10Y,South Africa,South Africa 10 Year Government Bonds Yield,8.00%,9.675%,2030-01-31
KR10Y,South Korea,South Korea 10 Year Government Bonds Yield,3.50%,3.255%,2034-06-10
ZA12Y,South Africa,South Africa 12 Year Government Bonds Yield,8.25%,10.475%,2032-03-31
KR20Y,South Korea,South Korea 20 Year Government Bonds Yield,3.88%,3.230%,2043-09-10
ZA20Y,South Africa,South Africa 20 Year Government Bonds Yield,9.00%,11.820%,2040-01-31
ZA25Y,South Africa,South Africa 25 Year Government Bonds Yield,8.75%,11.880%,2044-01-31
KR30Y,South Korea,South Korea 30 Year Government Bonds Yield,3.25%,3.160%,2054-03-10
ZA30Y,South Africa,South Africa 30 Year Government Bonds Yield,8.75%,11.785%,2048-02-28
KR50Y,South Korea,South Korea 50 Year Government Bonds Yield,3.50%,3.127%,2072-09-10
SE01MY,Sweden,Sweden 1 Month Government Bonds Yield,0.00%,3.690%,2024-07-17
SE02MY,Sweden,Sweden 2 Month Government Bonds Yield,0.00%,3.684%,2024-08-21
SE03MY,Sweden,Sweden 3 Month Government Bonds Yield,0.00%,3.618%,2024-09-18
SE06MY,Sweden,Sweden 6 Month Government Bonds Yield,0.00%,3.548%,2024-12-18
SE02Y,Sweden,Sweden 2 Year Government Bonds Yield,1.00%,2.529%,2026-11-12
SE05Y,Sweden,Sweden 5 Year Government Bonds Yield,0.75%,2.235%,2029-11-12
SE07Y,Sweden,Sweden 7 Year Government Bonds Yield,0.13%,2.216%,2031-05-12
SE10Y,Sweden,Sweden 10 Year Government Bonds Yield,1.75%,2.209%,2033-11-11
SE15Y,Sweden,Sweden 15 Year Government Bonds Yield,3.50%,2.416%,2039-03-30
